,,이름,브랜드,향 설명,가격,평점
Men,140,메종 프란시스 커정 아쿠아 셀레스티아 오 드 뚜왈렛 70ml,메종프란시스 커정,"빙하얼음을 분쇄한 듯, 청량함을 담아 지적이고 깨끗한 향기","224,000원",4.7
Men,141,메종 프란시스 커정 아쿠아 비떼 오 드 뚜왈렛 70ml,메종프란시스 커정,"과이악 우드의 잎사귀가 가을 낙엽으로 레몬색을 띄는 계절, 만다린 조각이 스파클링하게 통카빈을 두드리는 시간","224,000원",5.0
Men,142,퍼퓸드말리 세들리 75/125ml,퍼퓸 드 말리,청량한 물방울이 튄 스피아민트에 헬창느낌 가득한 라벤더 스킨 내음 살짝,"235,000원",0.0
Men,143,스테파니 브루진 마이 젠틀맨 오 드 퍼퓸 100ml,스테파니 브루진,철보다 단단한 심장을 가진 남자의 아로마틱 - 푸제르 계열 스킨내음,"225,000원",0.0
Men,144,조말론 잉글리쉬 오크 앤 헤이즐넛 코롱,조말론,"삼림 속 세차게 내린 비는 헤이즐넛과 삼나무의 밑바탕이 되어, 신선한 피톤치드를 더욱 힘있게 뿜어내는 향기","87,800원",5.0
Men,145,장 폴 고티에 르말 오 드 뚜왈렛 40/75/125ml,장 폴 고티에,"위태로운 섹시함이 뚝뚝 묻어나는, 국내에서 구할 수 없던 남자향수","56,000원",4.7
Men,146,킬리안 스트레이트 투헤븐 화이트크리스탈 오 드 퍼퓸 50ml,킬리안,풍부한 부드러움과 깊이감 가득한 오우드 나무를 닮아 분위기를 압도하는 사내의 향기,"265,000원",5.0
Men,147,바이레도 블랑쉬 오 드 퍼퓸 50/100ml,바이레도,"바이레도 대표작, 기분까지 상큼해지는 산뜻한 비누","205,000원",4.8
Men,148,메종마르지엘라 레이지선데이 모닝 100ml,메종 마르지엘라,"편안한 침대에 누웠을 때, 이불 속으로 온 몸이 녹아들듯 느껴지는 편안함","145,000원",4.8
Men,149,메종마르지엘라 비치워크,메종 마르지엘라,석양에 보며 먹는 부담스럽지 않은 코코넛밀크 한잔,"80,900원",4.7
Men,150,딥디크 오르페옹 오 드 퍼퓸 75ml,딥티크,"빳빳한 와이셔츠 위로 알싸한 주니퍼베리 안개가 스민, 시크한 긴장감의 런더리 향수","225,000원",4.9
Men,151,딥디크 제라늄 오도라타 오 드 뚜왈렛 100ml,딥티크,"촉촉히 젖은 토지에서 올라오는 흙내음 사이, 초원의 그늘진 풀 속을 헤집고 피어난 제라늄 향기","175,000원",5.0
Men,152,디올 옴므 인텐스 오 드 퍼퓸 100ml,디올,섹시함과 보호본능을 동시에 유발하는 암브레트 - 바닐라 향기,"148,000원",4.8
Men,153,퍼퓸드말리 퍼시발 75/125ml,퍼퓸 드 말리,"퍼퓸 드 말리 남성향수, 퍼시발","198,000원",0.0
Men,154,메모 문 피버 오 드 퍼퓸 75ml,메모,"가만가만 흔들리는 네롤리의 산뜻함에 보랏빛 노을처럼 얹어지는 야생화, 베티버 향기","263,000원",5.0
Men,155,프레데릭 말 프렌치 러버 50ml,프레데릭말,"단정하고도 세심한 감수성, 비에 젖은 소나무와 낙엽을 보며 한 편의 시를 읊어내는 감성","198,000원",5.0
Men,156,프라고나르 패츌리 오 드 뚜왈렛 100/200ml,프라고나르,"파츌리와 통카빈을 아로마오일로 내어 천천히 데울 때, 방안을 따스하게 감싸안는 편안함","71,500원",5.0
Men,157,프라고나르 수이베무아 오 드 뚜왈렛 200ml,프라고나르,"남자다운 라벤더 위로 부드럽게 내려앉은 바닐라, 자상한 남자에게 느껴지는 포근한 온기","102,000원",5.0
Men,158,크리드 로얄 메이페어 75/100ml,크리드,소나무와 유칼립투스가 넓게 펼쳐진 영국 옥스포드 정원의 향기,"248,000원",5.0
Men,159,톰포드 코스타 아주라 오 드 퍼퓸 50ml,톰포드,잔잔한 우디내음에 무심하게 얹어진 지중해 바람의 향기,"183,000원",4.9
Men,160,톰포드 그레이 베티버 오 드 퍼퓸 50ml,톰포드,"나무비누 질감으로, 베티버 입문자부터 스타일리쉬한 남자친구까지 연출 가능한 베티버 향기","140,000원",5.0
Men,161,세르주루텐 로 오 드 퍼퓸 50ml,세르주루텐,"세르주루텐 베스트셀러, 물기 가득한 와이셔츠 같은 깨끗한 비누내음","127,800원",4.8
Men,162,세르주루텐 밥뗌므 뒤 퍼 오 드 퍼퓸,세르주루텐,"실탄 화약 냄새, 진저, 계피가 얽혀 환호성 가득한 축제의 분위기","174,500원",5.0
Men,163,세르주루텐 르 파티시프 빠세 오 드 퍼퓸 50ml,세르주루텐,"천 년의 시간을 견딘 고목, 시간이 쌓여야만 느낄 수 있는 진중한 무게감","174,500원",0.0
Men,164,로에베 001 맨 오 드 뚜왈렛 50ml,로에베,"서정적이고 부드러운 우디 향기의 정석, 데일리로 편하게 쓰기 좋은 남녀공용 우디 향수","90,000원",4.9
Men,165,돌체앤가바나 더원 포맨 오 드 뚜왈렛 30/50/100ml,돌체앤가바나,재즈바에서 울려퍼질 것 같은 깊고 따뜻하고 달콤한 신사의 향기,"43,800원",4.8
Men,166,돌체앤가바나 뿌르옴므 new 75/125ml,돌체앤가바나,"단종 후 한달전에 재출시, 유행타지 않는 전 세계적 남자향수","63,700원",4.6
Men,167,바이레도 모하비고스트 오 드 퍼퓸 50/100ml,바이레도,"연보랏빛 물안개 속, 상큼달콤한 과일비누","198,500원",4.7
Men,168,킬리안 로즈 온 아이스 오 드 퍼퓸 50ml,킬리안,"상큼한 진토닉으로 씻어내는 하루의 고단함, 코 끝에 머무는 진과 물에 젖은 장미 향기","270,000원",0.0
Men,169,에트로 페가소 오 드 뚜왈렛 50ml,에트로,시원한 하이볼이 경쾌하게 부딪치며 한강 잔디공원 위로 흩뿌려질 때,"83,000원",4.7
Men,170,바이레도 집시워터 오 드 퍼퓸 50/100ml,바이레도,교향곡 처럼 조화롭고 은은한 우디와 바닐라,"198,500원",4.6
Men,171,발렌티노 우모 오 드 뚜왈렛 50ml,발렌티노,신사를 닮은 헤이즐넛 초콜릿의 단정하고 세련된 향기,"128,000원",4.9
Men,172,조말론 머르 앤 통카 코롱 인텐스,조말론,"그 남자의 사랑법, 통카빈을 감싸 안은 따뜻한 머르 나무에서 느껴지는 자상함","235,000원",5.0
Men,173,조말론 오드앤베르가못 코롱 인텐스 50ml,조말론,"강단있는 오우드와 확신에 찬 시더우드의 조합, 그만의 여유로 점철된 분위기의 향기","158,000원",5.0
Men,174,몽블랑 레전드 나이트 오 드 퍼퓸 30/50/100ml,몽블랑,부드럽고 달콤한 잔향에서 잘생김이 묻어나오는 피드백이 좋은 남자향수,"39,300원",4.6
Men,175,몽블랑 스타워커 오 드 뚜왈렛 50/75ml,몽블랑,"주변 공기까지 환기시키는, 새하얀 캐주얼 와이셔츠 향기","45,500원",5.0
Men,176,몽블랑 레전드 오 드 뚜왈렛 30/50/100ml,몽블랑,"가볍지 않아 더 멋있는, 수트입은 남자의 섹시한 무게감과 분위기","35,800원",4.9
Men,177,딥디크 트레블퍼퓸 오 드 뚜왈렛 12ml,딥티크,"직접 커스터마이징하는 나만의 딥디크, 반영구적 사용으로 지속가능성까지 고려한 트레블 스프레이","130,500원",5.0
Men,178,바이레도 슈퍼 시더 오 드 퍼퓸,바이레도,"심플하되, 모던하게- 시더우드의 군더더기 없는 깔끔함이 가장 잘 묘사된 향수","198,500원",5.0
Men,179,프레데릭 말 포트레이트 오브 어 레이디 50ml,프레데릭말,"비에 젖은 라즈베리와 짙은 색의 장미가 쌉싸름하고 우디한 파츌리와 어울린, 고혹적 분위기","277,800원",5.0
Men,180,딥디크 베티베리오 오 드 퍼퓸 75ml,딥티크,오 드 뚜왈렛보다 베티버의 남성적인 분위기가 한층 짙어진 진중한 향기,"194,800원",4.9
Men,181,바이레도 발다프리크 오 드 퍼퓸 50/100ml,바이레도,"늦가을, 커피잔 같은 따뜻한 달콤함","205,000원",4.6
Men,182,메모 아이리쉬 레더 오 드 퍼퓸 75ml,메모,바람을 타고 흩날리는 바싹 마른 마테잎이 말안장 위로 뭉근하게 쌓여 퍼지는 씁쓸한 향기,"263,000원",0.0
Men,183,크리드 실버마운틴 워터,크리드,깔끔하고 멋스러운 느낌의 크리드 남자향수 베스트셀러,"305,000원",4.8
Men,184,아쿠아 디 파르마 바닐라 오 드 퍼퓸 100ml,아쿠아 디 파르마,"오후 2시의 바닐라빛 햇살, 헬리오트로프를 베고 노곤히 쏟아지는 잠을 청하는 편안한 향기","185,000원",0.0
Men,185,케네스콜 블루 오 드 뚜왈렛 100ml,케네스콜,빙하속에 묻힌 파인애플을 먹는 것 같은 차갑고 시크한 느낌의 캐쥬얼향수,"53,800원",4.6
Men,186,에르메스 운 자르뎅 메디테라네 오 드 뚜왈렛,에르메스,"분수대 앞 공원 벤치에 걸터앉아 느껴보는, 햇살처럼 번지는 오렌지와 무화과 나무에서 퍼지는 달콤한 향기","145,000원",0.0
Men,187,메종마르지엘라 세일링데이,메종 마르지엘라,"선선한 바닷 바람이 뺨을 스칠 때, 요트 위에서 가볍게 숨을 고르는 듯한 상쾌한 향기","80,900원",4.8
Men,188,아이젠버그 땅따이숑 오 드 퍼퓸,아이젠버그,"쌀쌀한 날씨에 더욱 손이 가는, 달콤한 통카빈과 핑크페퍼의 균형 잡힌 포근함","47,400원",4.0
Men,189,아이젠버그 루즈 앤 느와르 오 드 퍼퓸,아이젠버그,새빨간 립스틱의 관능미와 느와르 식의 흑백이 자아내는 관능미,"47,400원",5.0
Men,190,크리드 그린 아이리쉬 트위드 50ml,크리드,농축시킨 레몬버베나 스킨으로 깔끔하게 마무리한 후 슈트를 걸친 클래식 향기,"305,000원",5.0
Men,191,딥디크 로데헤스페리데스 오 드 뚜왈렛 100ml,딥티크,"옅은 바람을 등지고 맡아지는 비터오렌지, 민트, 로즈마리의 프레시함이 마음을 톡톡 건드는 상쾌함","175,000원",5.0
Men,192,불리 오 트리쁠 그랑드 오달리스크 75ml,불리 1803,"남자의 체취가 가을 낙엽에 닿아 흐려진 듯, 스파이시한 인센스가 연출하는 시크한 관능미","185,000원",0.0
Men,193,아쿠아 디 파르마 오스만투스 오 드 퍼퓸 100ml,아쿠아 디 파르마,만개한 오스만투스 꽃을 가득 모아 살결에 가까운 비누로 정갈하게 만든 상큼함,"205,000원",4.8
Men,194,메모 오션 레더 오 드 퍼퓸 75ml,메모,"시원한 바닷바람을 타고 부서지는 시트러스와 얇은 종이를 바닷물에 풀어헤친듯, 가볍게 올라오는 우디","263,000원",0.0
Men,195,메종마르지엘라 재즈클럽,메종 마르지엘라,분위기 좋은 바에서 콕테일 한잔을 마시며 취해가는 럭셔리 향기,"80,900원",4.8
Men,196,메종마르지엘라 바이 더 파이어플레이스 100ml,메종 마르지엘라,"스위스 나무 별장, 모닥불 피워 놓은 자리에서 한 입 떠 먹는 바닐라 한 스푼","145,000원",4.8
Men,197,바이레도 슬로우 댄스 오 드 퍼퓸 100ml,바이레도,"달콤한 바닐라 코냑에 취해갈 때, 현실은 흐려지고 사랑은 더욱 짙어지는 로맨틱한 공간의 향기","255,750원",5.0
Men,198,킬리안 블랙팬텀 오 드 퍼퓸 50ml,킬리안,고독까지 섹시한 남자의 달콤한 럼 온더락 향기,"275,000원",4.9
Men,199,메모 러시안 레더 오 드 퍼퓸 75ml,메모,"퍼퓸그라피 여성 직원분들의 몰표를 받은, 한 마리의 늑대가 설산을 넘는 사이로 고요히 퍼지는 우디와 레더","263,000원",5.0
Men,200,크리드 오리지널 베티버 50ml,크리드,"호불호 없는 베티버, 맡기만 해도 마음이 평온해지는 산뜻한 녹색 비누 향기","310,000원",4.9
Men,201,누NOU 이클립스 오 드 뚜왈렛 50ml,누NOU,섬세한 남자의 스킨 향기가 상대방에게 무한한 신뢰감을 주는 지적인 미,"42,000원",0.0
Men,202,프레데릭 말 베티버 엑스트라오디네르 50ml,프레데릭말,뚝심있는 사람에게 날법한 순도높고 고급스러운 잔향의 베티버향수,"243,000원",5.0
Men,203,프레데릭 말 뮤스크 라바줴 50ml,프레데릭말,"거부할 수 없는 섹시함, 단 한사람을 위한 머스크 향기","213,000원",4.9
Men,204,프레데릭 말 로디베 50ml,프레데릭말,"보라빛 꽃 위를 살랑이는 흰 나비처럼, 헬리오트로프와 머스크가 연출하는 연약한 포근함","205,000원",0.0
Men,205,아쿠아 디 파르마 산달로 오 드 퍼퓸 100ml,,"맨하탄 증권가에서 일처리가 가장 뛰어난, 잘 차려입은 라벤더 스킨 내음의 이지적인 섹시함","190,000원",5.0
Men,206,존바바토스 닉 조나스 실버 오 드 뚜왈렛 75/125 ml,존바바토스,파츌리에 젖은 하얀 와이셔츠의 뽀송한 성숙함,"53,400원",4.6
Men,207,존바바토스 닉 조나스 블루 오 드 뚜왈렛 75/125ml,존바바토스,민트와 소냐기향이 가득한 숲속의 스킨내음,"48,800원",4.8
Men,208,존바바토스 다크레블 라이더 오 드 뚜왈렛 125ml,존바바토스,운동한 후의 체취같은 섹시한 잔향이 레더재킷의 안단과 어울린 포근한 향기,"57,800원",4.8
Men,209,케네스콜 맨카인드 오 드 뚜왈렛 100ml,케네스콜,달콤하고 분위기 있는 시더우드,"49,800원",5.0
Men,210,케네스콜 빈티지 블랙 오 드 뚜왈렛 100ml,케네스콜,시크하고 섹시한 남성의 유혹,"49,900원",4.7
Men,211,티에리 뮈글러 엔젤 오 드 퍼퓸 50ml,티에리 뮈글러,"유혹의 정석, 대담하게 유혹하는 달콤 아찔 플럼-바닐라","87,000원",4.8
Men,212,입생로랑 르옴므 오 드 뚜왈렛 60ml,입생로랑,밤색의 라떼처럼 포근하고 듬직한 입생로랑 대표 남자향수,"84,000원",4.9
Men,213,디올 소바쥬 60ml,디올,"시크, 섹시 모든 것을 다 갖춘 남성의 정점에서 느껴지는 아우라","90,000원",4.8
Men,214,아쿠아 디 파르마 시프레소 디 토스카나 150ml,,"이태리의 작은 숲, 신선한 사이프레스와 갈바넘이 연출하는 자연 치유적 향기","122,000원",3.0
Men,215,아이젠버그 러브어페어 옴므 30/50/100ml,아이젠버그,"비누거품처럼 노곤한 눈빛을 지닌, 훈훈하고 자상한 남자다움의 정석","65,200원",4.8
Men,216,아이젠버그 르페쉬에 옴므 30/50/100ml,아이젠버그,"혼자 잘생기고, 섹시하고 다 할 정도로 완급조절을 잘 하는 남자의 담백한 앰버 향기","85,000원",4.7
Men,217,세르주루텐 베티버 오리엔탈 오 드 퍼퓸 50ml,세르주루텐,"진지한 연인사이, 그 무르익어가는 깊이처럼 서로를 더욱 신뢰하게 하는 베티버 향기","174,500원",5.0
Men,218,세르주루텐 쉔느 (쉔) 오 드 퍼퓸 100ml,세르주루텐,4B 연필로 사각사각 채운 편지 위로 쏟아진 럼이 흑연과 섞여 내는 청량한 묵직함,"395,000원",5.0
Men,219,메종 마르지엘라 레플리카 소울 오브 더 포레스트 100ml,메종 마르지엘라,물안개가 가득한 피톤치드 숲속을 걸으며 씹어보는 블랙커런트의 선선한 향기,"175,000원",5.0
Men,220,메종 마르지엘라 레플리카 어크로스 샌드 100ml,메종 마르지엘라,한약방의 감초가 생각나는 마른사막 위에 펼쳐진 오리엔탈 서커스,"215,000원",0.0
Men,221,마크제이콥스 맨 오 드 뚜왈렛 125ml,마크제이콥스,자유분방한 보헤미안 느낌의 무화과향 남자향수,"94,800원",4.7
Men,222,디올 옴므 스포츠 오 드 뚜왈렛 75ml,디올,실리콘밸리의 창의적이면서도 칼같은 남자의 아우라가 느껴지는 상큼한 스킨 내음,"90,000원",4.7
Men,223,겔랑 베티버 오 드 뚜왈렛 100/200ml,겔랑,"대지의 와일드함을 그대로 흡수한 듯, 듬직해서 더 편안한 베티버 향기","68,000원",4.3
Men,224,불리 오 트리쁠 목수 성 요셉 75ml,불리 1803,일렁이는 바닐라와 히노끼의 편백향이 나무기둥 사이로 천천히 스며드는 소프트-우디 향,"185,000원",5.0
Men,225,바이레도 선데이즈드 오 드 퍼퓸 50/100ml,바이레도,설탕을 버무린 오렌지맛 코튼캔디가 석양에 스르르 녹는향기,"191,750원",4.6
Men,226,바이레도 로즈 오브 노 맨즈 랜드 오 드 퍼퓸 50ml,바이레도,"바이레도가 그린 선명한 로즈, 라즈베리 이슬이 차가운 장미를 녹이며 깨어나는 싱그런 향기","198,500원",5.0
Men,227,메종 마르지엘라 레플리카 플라잉 100ml,메종 마르지엘라,네롤리와 오렌지로 석양을 만든 잔잔한 비누향기,"175,000원",4.6
Men,228,메종 마르지엘라 뮤직 페스티벌 100ml,메종 마르지엘라,"우드 소극장, 희뿌연 먼지 사이를 뚫고 강렬하게 퍼지는 가죽끈의 열정적인 바이브","145,000원",4.9
Men,229,퍼퓸드말리 고돌핀 75/125ml,퍼퓸 드 말리,습기 찬 장작에 불을 붙인 그을음에 레더와 샤프란을 태우는 듯한 향기,"198,000원",5.0
Women,0,조말론 포피 앤 바알리 코롱,조말론,"보리수의 달콤함 위로 블랙커런트 이슬이 스며드는 양귀비, 한 폭의 낭만을 완성짓는 향기","83,800원",4.9
Women,1,몽클레르 뿌르 옴므 오 드 퍼퓸,몽클레르,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기","110,000원",0.0
Women,2,메종 마르지엘라 스프링타임 인 어 파크,메종 마르지엘라,풍성하게 핀 하얀 꽃나무 아래서 가까워진 봄을 알아차리게 하는 향기,"80,900원",5.0
Women,3,딥디크 오카피탈 오 드 퍼퓸 75ml,딥티크,"가시돋힌 장미의 줄기를 타고 흘러내리는 파츌리, 장미의 이면을 드러낸 독보적인 분위기의 향","191,800원",5.0
Women,4,프레드릭엠 오베드상 오 드 퍼퓸 75ml,프레드릭엠,살갗의 가장 여린 속살을 떠올리게 하는 야릇한 포근함,"56,000원",4.7
Women,5,조말론 피오니 앤 블러쉬 스웨이드 코롱,조말론,사과처럼 빨간 작약이 스웨이드와 연출하는 부드러운 여성미,"83,800원",4.8
Women,6,조말론 잉글리쉬 페어 앤 프리지아 코롱,조말론,"조말론 여자향수 베스트, 부드럽고 우아한 느낌의 프리지아 향기","87,800원",4.8
Women,7,조말론 프랑지파니 플라워 코롱 30ml,조말론,봄바람을 탄 프랑지파니 꽃잎이 천천히 유영하듯 흐르는 하얀 아름다움,"87,800원",4.8
Women,8,조말론 허니서클 앤 다바나 코롱,조말론,연노랑빛 쉬폰 드레스 자락처럼 마음을 살랑살랑 간질일 것 같은 다바나 향기,"87,800원",5.0
Women,9,조말론 다크 앰버 앤 진저 릴리 코롱 인텐스,조말론,"성별 무관, 시간을 느리게 흐르게 만드는 몽환적인 달콤함","185,000원",4.7
Women,10,구찌 알케미스트 가든 어 송 포 더 로즈 오 드 퍼퓸,구찌,가장 순도 높은 불가리안 로즈 워터에서 느낄 수 있는 구찌 하우스의 품격,"360,000원",5.0
Women,11,더 디퍼런트 컴퍼니 퓨어이브,더 디퍼런트 컴퍼니,석양의 온기를 닮은 아늑하고 포근한 파우더함과 바닐라향이 어울린 아늑함,"160,000원",4.9
Women,12,반클리프 앤 아펠 네롤리 아마라 오 드 퍼퓸,반클리프 앤 아펠,"티 없는 가을 하늘의 청량한 달콤함이 나리는, 네롤리와 잔잔한 우디가 선사하는 산뜻함","187,000원",5.0
Women,13,랄프로렌 로맨스 오 드 퍼퓸 30/50/100ml,랄프로렌,같은 행동도 뭔가 더 아름답고 예쁘게 만드는 선명한 로맨틱함,"63,500원",4.9
Women,14,샤넬 가브리엘 오 드 퍼퓸 50ml,샤넬,"샤넬신상, 넘버5에서 클래식함을 제거하고 더 트렌디하게 바꾼 화이트플로럴 향수","133,500원",4.8
Women,15,샤넬 샹스 오 비브 오 드 뚜왈렛 50ml,샤넬,샤워거품 같은 청아한 재스민과 오렌지플라워,"121,500원",5.0
Women,16,샤넬 샹스 오 땅드르 오 드 뚜왈렛 50ml,샤넬,아나운서 느낌의 화사한 듯 단정한 여인의 향기,"121,500원",5.0
Women,17,샤넬 샹스 오 땅드르 오 드 빠르펭 NEW 50/100ml,샤넬,"19년 샤넬신상, 달콤하고 기분좋은 여성스러운 플로럴의 군더더기 없는 아름다움","139,500원",4.8
Women,18,샤넬 가브리엘 에쌍스 오 드 빠르펭 50/100ml,샤넬,"샤넬신상, 넘버5에서 클래식함을 제거하고 더 트렌디하게 바꾼 화이트플로럴 향수","139,500원",4.9
Women,19,샤넬 레조 드 파리 리비에라 오 드 뚜왈렛 50/125ml,샤넬,여성스러움과 깨발랄함을 동시에 갖고 있는 섬세한 오렌지블로썸,"124,000원",4.9
Women,20,불가리 쁘띠마망 오 드 뚜왈렛,불가리,"아이와 엄마가 그려지는 귀엽고 포근한, 사랑스러움을 담은 베이비 파우더 향기","65,000원",0.0
Women,21,샤넬 No.5 로 (넘버5) LEAU 오 드 뚜왈렛 35/50/60ml,샤넬,"샤넬의 신상, 가장 산뜻하고 은은한 향기","111,500원",4.8
Women,22,샤넬 레조 드 파리 베니스 오 드 뚜왈렛 50ml,샤넬,베이지톤의 깔끔한 복장이 생각나는 우아하고 담백한 여자향수의 극강,"124,000원",4.5
Women,23,샤넬 코코 마드모아젤 우먼 오 드 퍼퓸 35/50ml,샤넬,자꾸 뒤돌아보게 되는 깊고 성숙한 달콤함,"102,500원",4.9
Women,24,샤넬 No.5 (넘버5) 오 드 퍼퓸 35/50ml,샤넬,"샤넬의 영원한 대표작, 샤넬 넘버5","102,500원",4.8
Women,25,샤넬 샹스 오 드 퍼퓸 35/50ml,샤넬,신뢰를 줄 수 있는 전문적인 느낌의 여자향수,"102,500원",4.3
Women,26,샤넬 샹스 오 드 퍼퓸,샤넬,"신뢰감이 묻어나는 우아한 황후의 향기, 샤넬 샹스","220,000원",4.3
Women,27,샤넬 No.5 (넘버5) 오 드 퍼퓸,샤넬,"그녀의 향기에는 이유가 있다. 코코 샤넬의 페르소나, 샤넬 넘버5","220,000원",4.8
Women,28,샤넬 코코 마드모아젤 우먼 오 드 퍼퓸,샤넬,"성숙한 여성의 농밀한 향기, 샤넬 코코 마드모아젤","220,000원",4.9
Women,29,톰포드 만다리노 디 아말피 오 드 퍼퓸,톰포드,아말피산 만다린이 지중해 파도 거품으로 녹아드는 순간을 담은 싱그러움,"295,000원",0.0
Women,30,구찌 블룸 오 드 퍼퓸,구찌,"구찌 여성 베스트셀러, 패키지만으로도 두근거리는 사계절 튜베로즈 향기","80,000원",4.8
Women,31,미우미우 오 드 퍼퓸,미우미우,하늘의 구름을 따서 하얀 컨버스화로 만든 것 같은 캐쥬얼한 부드러움,"140,000원",4.8
Women,32,로에베 001 우먼 오 드 뚜왈렛 30/50ml,로에베,"로에베 특유의 서정적 우디 내음이 잘 표현된, 바닐라-코코넛의 분분한 낙화의 향기","72,000원",4.8
Women,33,세르주루텐 라 휘드 베흘랑 오 드 퍼퓸,세르주루텐,"고혹적으로 부서지는 붉은 장미, 세르주루텐 특유의 서늘한 감성이 녹아난 베스트셀러","130,000원",4.8
Women,34,데렉 램 10 크로스비 드렁크 온 유스 오 드 퍼퓸 10/50/100ml,데렉 램 10 크로스비,사과샴푸향을 풍기며 뛰어가는 대학교2학년의 근처에서 날법한 산뜻한 향기,"33,300원",4.8
Women,35,산타마리아노벨라 프리지아 오 드 코롱 100ml,산타마리아노벨라,새하얀 수건을 개어놓은 듯한 고혹적인 비누향기,"152,000원",4.8
Women,36,메종 마르지엘라 마차 메디테이션,메종 마르지엘라,"동양적인 무드의 말차라떼, 그 달콤함이 오렌지 플라워에 차분히 스미는 정갈함","80,900원",5.0
Women,37,나르시소 로드리게즈 플레르 머스크 포허 30/50/100ml,나르시소 로드리게즈,디올 블루밍부케와 유사하면서 조금 더 따뜻하게 달콤하고 은근하게 섹시함,"51,500원",4.8
Women,38,르페르소나 LP01 미스틱 로즈 오 드 퍼퓸,르페르소나,"사랑하는 이의 달콤한 말을 닮은 피오니와 장미, 손이 스치는 순간의 페퍼, 서로의 눈속에 마주한 부드러운 우디","104,000원",5.0
Women,39,르페르소나 LP02 피콕 페더 오 드 퍼퓸,르페르소나,"바닷가 선베드에 누워 만끽하는 여름휴가, 타오르는 햇빛 사이로 산뜻하게 퍼지는 라임과 코코넛","104,000원",5.0
Women,40,르페르소나 LP04 골든 젬 오 드 퍼퓸,르페르소나,"잊을 수 없는 무도회의 한 장면, 달콤한 바닐라와 무화과가 깊은 인상을 남기고 유유히 사라지는 순간의 향기","104,000원",4.0
Women,41,르페르소나 LP03 우든 페이스 오 드 퍼퓸,르페르소나,"거칠고 각진 나무토막의 표면을 매끄럽고 둥글게 조각하듯, 마음까지 감싸 안아주는 산뜻하고 편안한 나무냄새","104,000원",4.5
Women,42,톰포드 로스트 체리 오 드 퍼퓸,톰포드,"몸을 한껏 달아오르게 하는 통카빈과 대단히 뇌쇄적인 체리, 이 밤을 더욱 길고 짙게 만드는 유혹","365,000원",5.0
Women,43,산타마리아노벨라 프리지아 50ml,산타마리아노벨라,새하얀 수건을 개어놓은 듯한 고혹적인 비누향기,"103,500원",4.8
Women,44,산타마리아노벨라 엔젤 디 피렌체 오 드 코롱 50/100ml,산타마리아노벨라,상큼달콤한 복숭아와 재스민이 어울린 비누계열의 시트러스 향취,"103,000원",4.9
Women,45,나르시소 로드리게즈 포허 오 드 뚜왈렛 30/50/100ml,나르시소 로드리게즈,단아한 오스만투스와 성숙한 머스크가 동시에 어울린 살결같은 향기,"44,800원",4.8
Women,46,나르시소 로드리게즈 엉브레 오 드 퍼퓸 30/50/90ml,나르시소 로드리게즈,"부족할 땐 채워주고, 넘칠 땐 닦아주는 배려심 깊은 프랑지파니 - 바닐라","63,000원",5.0
Women,47,프라다 라팜므 로 오 드 뚜왈렛 35/50/100ml,프라다,"환하게 웃는 얼굴 위 드리워진, 청초한 푸루메리아와 일랑일랑","85,000원",4.8
Women,48,미우미우 로블루 오 드 퍼퓸,미우미우,청량한 하늘의 푸르름을 담은 이슬먹은 은방울꽃,"140,000원",4.5
Women,49,프라다 레스 인퓨전 디 로즈 오 드 퍼퓸 100/200ml,프라다,"다우니의 장미 섬유 유연제 같은, 정말 은은한 로즈","184,000원",4.8
Women,50,프라고나르 벨 드 뉘 50/60ml,프라고나르,"가드니아와 붓꽃이 어울린 단정함 , 디올 쟈도르보다 조금 더 차분한 아름다움","96,000원",5.0
Women,51,아쿠아 디 파르마 벚꽃 오 드 퍼퓸 100ml,아쿠아 디 파르마,"달지 않게 달콤한 벚꽃, 그 한 송이의 잔잔함을 닮은 데일리","220,000원",4.8
Women,52,아쿠아 디 파르마 피오니아 노빌레 오 드 퍼퓸,아쿠아 디 파르마,"첫사랑도 잊게 만들 정도로, 보면 볼수록 더 예뻐 보이는 피오니 향기","130,000원",5.0
Women,53,메종 마르지엘라 뮤티니 오 드 퍼퓸 50ml,메종 마르지엘라,"마르지엘라의 감각적 고급스러움, 지는 석양을 내리쬐는 튜베로즈와 캐시미어 우드의 조화","130,000원",0.0
Women,54,세르주루텐 페미니떼드부아 오 드 퍼퓸,세르주루텐,"세르주루텐의 첫 작품, 오리엔탈 계열의 삼나무와 클로브가 묘사하는 관능적인 여성성의 끝","174,500원",4.3
Women,55,세르주루텐 튜베로즈 크리미넬 오 드 퍼퓸,세르주루텐,"달빛처럼 유려하게 흐르는 곡선, 튜베로즈의 본질에 가장 가깝게 마주한 순연의 향기","395,000원",0.0
Women,56,바이레도 선데이 코롱 오 드 퍼퓸,바이레도,"센트럴파크 화단에 핀 제라늄과 베티버, 그 사이를 톡톡히 적시는 푸른 봄비의 베르가못","197,000원",5.0
Women,57,바이레도 일레븐스 아워 오 드 퍼퓸,,"바이레도 한정판, 신비한 향신료와 술의 달큰함이 끼쳐오는 이국적인 오리엔탈풍 향기","197,000원",0.0
